tree,K,distribution,threads,iteration,size,insert,lookup,remove
32uVEBL,32,uniform,1,0,32,2221.88,118.69,556.25
32uVEBL,32,uniform,1,0,64,485.938,118.48,329.688
32uVEBL,32,uniform,1,0,128,475.781,108.13,317.969
32uVEBL,32,uniform,1,0,256,537.5,105.27,357.031
32uVEBL,32,uniform,1,0,512,493.555,104.05,389.258
32uVEBL,32,uniform,1,0,1024,426.66,100.61,314.062
32uVEBL,32,uniform,1,0,2048,322.852,96.53,211.475
32uVEBL,32,uniform,1,0,4096,275.073,91.01,178.809
32uVEBL,32,uniform,1,0,8192,256.787,84.31,257.52
32uVEBL,32,uniform,1,0,16384,284.1,93.41,307.318
32uVEBL,32,uniform,1,0,32768,402.274,110.02,543.985
32uVEBL,32,uniform,1,0,65536,1019.16,159.13,716.505
32uVEBL,32,uniform,1,0,131072,1482.31,236.91,867.312
32uVEBL,32,uniform,1,0,262144,1015.52,326.57,794.752
32uVEBL,32,uniform,1,0,524288,588.094,342.52,613.268
32uVEBL,32,uniform,1,0,1048576,537.205,367.55,567.699
32uVEBL,32,uniform,1,0,2097152,627.91,438.55,588.967
32uVEBL,32,uniform,1,1,32,550,84.58,246.875
32uVEBL,32,uniform,1,1,64,370.312,105.92,226.562
32uVEBL,32,uniform,1,1,128,547.656,81.45,239.844
32uVEBL,32,uniform,1,1,256,408.203,81.97,283.984
32uVEBL,32,uniform,1,1,512,410.547,77.28,308.008
32uVEBL,32,uniform,1,1,1024,338.574,76.78,252.051
32uVEBL,32,uniform,1,1,2048,261.182,77.2,177.051
32uVEBL,32,uniform,1,1,4096,230.103,79.14,166.504
32uVEBL,32,uniform,1,1,8192,241.858,80.05,204.236
32uVEBL,32,uniform,1,1,16384,314.899,92.76,305.231
32uVEBL,32,uniform,1,1,32768,415.433,111.33,516.089
32uVEBL,32,uniform,1,1,65536,573.552,162.27,721.375
32uVEBL,32,uniform,1,1,131072,646.066,239.99,857.932
32uVEBL,32,uniform,1,1,262144,605.967,322.27,819.322
32uVEBL,32,uniform,1,1,524288,494.238,397.13,646.98
32uVEBL,32,uniform,1,1,1048576,472.116,376.76,572.194
32uVEBL,32,uniform,1,1,2097152,511.161,418.96,679.849
32uVEBL,32,uniform,1,2,32,531.25,80.88,265.625
32uVEBL,32,uniform,1,2,64,787.5,159.65,239.062
32uVEBL,32,uniform,1,2,128,474.219,78.95,345.312
32uVEBL,32,uniform,1,2,256,446.094,79.18,269.922
32uVEBL,32,uniform,1,2,512,416.406,81.71,289.258
32uVEBL,32,uniform,1,2,1024,350.098,80.9,249.316
32uVEBL,32,uniform,1,2,2048,281.934,79.46,185.4
32uVEBL,32,uniform,1,2,4096,230.054,81.62,187.744
32uVEBL,32,uniform,1,2,8192,247.412,83.81,238.013
32uVEBL,32,uniform,1,2,16384,309.515,94.26,316.4
32uVEBL,32,uniform,1,2,32768,422.122,111.54,504.016
32uVEBL,32,uniform,1,2,65536,646.692,173.61,741.434
32uVEBL,32,uniform,1,2,131072,712.225,239.18,864.993
32uVEBL,32,uniform,1,2,262144,618.969,337.83,803.882
32uVEBL,32,uniform,1,2,524288,523.849,360.01,621.817
32uVEBL,32,uniform,1,2,1048576,475.547,389.07,566.565
32uVEBL,32,uniform,1,2,2097152,507.407,425.97,588.982
32uVEBL,32,uniform,1,3,32,543.75,82.48,243.75
32uVEBL,32,uniform,1,3,64,365.625,104.5,243.75
32uVEBL,32,uniform,1,3,128,335.156,80.04,210.156
32uVEBL,32,uniform,1,3,256,375,86.62,252.344
32uVEBL,32,uniform,1,3,512,420.898,77.37,316.602
32uVEBL,32,uniform,1,3,1024,338.379,76.29,231.934
32uVEBL,32,uniform,1,3,2048,263.232,77.15,169.434
32uVEBL,32,uniform,1,3,4096,225.073,79.08,161.597
32uVEBL,32,uniform,1,3,8192,242.383,80.16,196.533
32uVEBL,32,uniform,1,3,16384,334.552,91.83,296.246
32uVEBL,32,uniform,1,3,32768,411.322,102.88,497.62
32uVEBL,32,uniform,1,3,65536,557.495,161.88,720.126
32uVEBL,32,uniform,1,3,131072,638.223,236.64,881.986
32uVEBL,32,uniform,1,3,262144,593.514,319.74,790.579
32uVEBL,32,uniform,1,3,524288,493.204,377.4,610.866
32uVEBL,32,uniform,1,3,1048576,468.982,381.43,566.323
32uVEBL,32,uniform,1,3,2097152,508.637,432.77,596.851
32uVEBL,32,uniform,1,4,32,556.25,84.82,293.75
32uVEBL,32,uniform,1,4,64,360.938,108.88,468.75
32uVEBL,32,uniform,1,4,128,502.344,80.03,228.906
32uVEBL,32,uniform,1,4,256,388.672,77.33,265.234
32uVEBL,32,uniform,1,4,512,396.484,81.01,283.594
