tree,K,distribution,iteration,size,insert,lookup,remove
8std::set,8,uniform,0,32,390.625,28.55,175
8std::set,8,uniform,0,64,150,34.56,137.5
8std::set,8,uniform,1,32,187.5,28.23,221.875
8std::set,8,uniform,1,64,756.25,40.85,142.188
8std::set,8,uniform,2,32,200,27.62,165.625
8std::set,8,uniform,2,64,206.25,35.18,148.438
8std::set,8,uniform,3,32,196.875,31.57,246.875
8std::set,8,uniform,3,64,115.625,31.41,110.938
8std::set,8,uniform,4,32,128.125,23.45,115.625
8std::set,8,uniform,4,64,107.812,27.78,107.812
8std::set,8,uniform,5,32,137.5,22.34,115.625
8std::set,8,uniform,5,64,389.062,27.49,100
8std::set,8,uniform,6,32,134.375,31.72,143.75
8std::set,8,uniform,6,64,109.375,25.98,112.5
8std::set,8,uniform,7,32,140.625,24.19,131.25
8std::set,8,uniform,7,64,118.75,31.79,109.375
8std::set,8,uniform,8,32,140.625,25.72,131.25
8std::set,8,uniform,8,64,117.188,41.12,117.188
8std::set,8,uniform,9,32,143.75,20.37,125
8std::set,8,uniform,9,64,117.188,25.64,109.375
8std::set,8,cluster,0,32,115.625,9.39,90.625
8std::set,8,cluster,0,64,79.6875,13.88,70.3125
8std::set,8,cluster,1,32,112.5,9.55,90.625
8std::set,8,cluster,1,64,79.6875,13.47,68.75
8std::set,8,cluster,2,32,112.5,10.52,90.625
8std::set,8,cluster,2,64,76.5625,16.24,65.625
8std::set,8,cluster,3,32,112.5,15.91,87.5
8std::set,8,cluster,3,64,76.5625,14.04,65.625
8std::set,8,cluster,4,32,106.25,13.66,84.375
8std::set,8,cluster,4,64,71.875,14.55,60.9375
8std::set,8,cluster,5,32,103.125,15.75,81.25
8std::set,8,cluster,5,64,71.875,16.16,65.625
8std::set,8,cluster,6,32,103.125,8.5,81.25
8std::set,8,cluster,6,64,95.3125,15.93,89.0625
8std::set,8,cluster,7,32,103.125,13.46,84.375
8std::set,8,cluster,7,64,68.75,16.14,57.8125
8std::set,8,cluster,8,32,96.875,11.31,71.875
8std::set,8,cluster,8,64,79.6875,21.54,82.8125
8std::set,8,cluster,9,32,96.875,14.21,71.875
8std::set,8,cluster,9,64,71.875,17.06,57.8125
16std::set,16,uniform,0,32,153.125,20.32,134.375
16std::set,16,uniform,0,64,107.812,23.89,104.688
16std::set,16,uniform,0,128,96.0938,29.32,98.4375
16std::set,16,uniform,0,256,90.2344,35.18,91.7969
16std::set,16,uniform,0,512,87.1094,45.83,87.5
16std::set,16,uniform,0,1024,88.6719,50.4,90.8203
16std::set,16,uniform,0,2048,93.5059,59.86,94.4824
16std::set,16,uniform,0,4096,100.171,69.52,102.393
16std::set,16,uniform,0,8192,113.062,108.19,116.162
16std::set,16,uniform,0,16384,157.916,224.08,141.766
